region.id,casa.ant.med,poblacion,casas.num,ingreso.med,cuartos.prom,habitaciones.prom,ocupantes.prom,valor.med.log
72,46,582,277,0.7286,1.072202166,3.375451264,2.101083032,11.46373522
73,49,560,152,1.75,1.342105263,5.552631579,3.684210526,11.22524339
74,46,18,7,0.4999,0.571428571,1.714285714,2.571428571,11.11988288
75,20,290,133,2.483,1.210526316,6.278195489,2.180451128,11.8313792
76,17,762,439,0.9241,1.0523918,2.817767654,1.735763098,12.08672589
77,36,1236,509,2.4464,1.104125737,5.724950884,2.428290766,11.533708
78,19,721,207,1.1111,1.173913043,5.830917874,3.483091787,11.59266043
79,23,1054,325,0.8026,1.150769231,5.369230769,3.243076923,11.6307085
80,38,344,155,2.0114,1.135483871,4.412903226,2.219354839,11.78524006
81,17,609,289,1.5,1,3.197231834,2.107266436,11.99843328
82,52,183,56,1.1667,1,3.75,3.267857143,11.6307085
83,52,200,87,1.5208,1.114942529,3.908045977,2.298850575,11.6307085
84,52,346,155,0.8075,1.058064516,2.490322581,2.232258065,11.8313792
85,35,467,169,1.8088,1.088757396,5.609467456,2.763313609,11.68519669
86,52,377,115,2.4083,1.243478261,6.72173913,3.27826087,11.49476149
87,40,582,380,0.977,1.186842105,2.315789474,1.531578947,11.68519669
88,10,546,330,0.76,1.054545455,2.651515152,1.654545455,11.99843328
89,10,125,39,0.9722,1.076923077,2.692307692,3.205128205,11.8313792
90,52,396,85,1.2434,0.917647059,2.929411765,4.658823529,13.12236538
91,16,800,362,2.0938,1.082872928,2.745856354,2.209944751,11.99843328
92,52,904,88,0.8668,0.988636364,2.443181818,10.27272727,11.8313792
93,52,191,34,0.75,0.911764706,2.823529412,5.617647059,11.99843328
94,27,718,302,2.6354,1.149006623,3.493377483,2.377483444,12.14153412
95,39,1327,467,1.8477,1.334047109,3.672376874,2.841541756,12.09625778
96,36,3469,2323,2.0096,1.066293586,2.294016358,1.493327594,11.77528973
97,31,2048,1180,2.8345,1.127966102,3.894915254,1.73559322,12.12160349
98,29,202,91,2.0062,1.175824176,3.681318681,2.21978022,11.73606902
99,22,2024,1250,1.2185,1.016,2.9456,1.6192,12.04355372
100,37,1838,980,2.6104,1.107142857,3.707142857,1.875510204,12.17096347
101,29,2304,1250,2.4912,1.1312,3.7248,1.8432,12.45993937
102,28,2563,1497,3.2177,1.070808283,3.878423514,1.712090848,12.5186912
103,39,389,228,3.125,1.061403509,3.745614035,1.706140351,12.3779229
104,52,895,613,2.5795,1.143556281,3.515497553,1.460032626,12.76568843
105,34,2689,1789,2.8406,1.069871437,3.281721632,1.503074343,12.72397318
106,52,674,244,4.9306,0.922131148,6.18442623,2.762295082,12.65523561
107,52,709,456,3.2727,1.057017544,4.442982456,1.554824561,12.50060619
108,52,686,422,3.1691,1.090047393,4.165876777,1.625592417,12.46612655
109,52,1444,718,3.9,1.045961003,4.848189415,2.011142061,12.5270686
110,28,1520,802,3.9063,1.066084788,4.16084788,1.895261845,12.32385568
111,52,550,253,5.0917,1.14229249,5.628458498,2.173913043,12.47800636
112,32,1806,1022,2.6429,1.074363992,3.727005871,1.767123288,12.29454129
113,26,1749,1217,3.0233,0.982744454,3.253081348,1.437140509,12.44901882
114,52,939,519,3.1484,1.077071291,4.578034682,1.809248555,12.31984766
115,35,675,422,3.4722,1.014218009,3.822274882,1.599526066,12.40122816
116,52,534,291,3.1429,0.986254296,4.395189003,1.835051546,12.35276702
117,28,2558,1661,2.4234,1.053582179,3.023479831,1.540036123,12.29454129
118,52,1786,1037,3.0897,1.06557377,4.040501446,1.722275796,12.36350365
119,50,970,373,5.8596,1.069705094,6.742627346,2.600536193,12.69954863
120,47,1098,485,5.2868,0.936082474,6.546391753,2.263917526,12.75880767
121,41,794,376,5.956,1.079787234,6.85106383,2.111702128,12.8106618
122,37,98,47,4.9643,1.14893617,7.106382979,2.085106383,12.72188581
123,52,1061,403,6.3434,1.019851117,6.947890819,2.632754342,12.83094099
124,52,1177,555,5.1773,1.034234234,6.358558559,2.120720721,12.87261914
125,52,901,367,7.2354,0.994550409,7.117166213,2.455040872,12.87671856
126,28,2031,956,5.457,1.09623431,5.530334728,2.124476987,12.72872802
127,50,1031,479,7.5,0.987473904,6.127348643,2.152400835,12.59540837
128,44,1358,597,6.0194,1,5.735343384,2.274706868,12.58553595
129,40,1616,654,7.5544,1.03058104,7.631498471,2.470948012,12.9275643
130,30,844,343,6.0666,1.008746356,6.44606414,2.460641399,12.64915462
131,34,1140,496,7.0548,0.987903226,6.125,2.298387097,12.69434586
132,18,533,194,11.6017,1.082474227,8.335051546,2.74742268,12.88054656
133,35,1072,443,7.4882,1.038374718,6.467268623,2.41986456,12.67388638
134,34,1627,766,6.8976,1.028720627,6.61227154,2.124020888,12.71679826
135,28,463,190,8.2049,0.968421053,6.978947368,2.436842105,12.72248265
136,26,542,211,8.401,1.056872038,7.530805687,2.568720379,12.76911114
137,29,661,269,6.8538,1.007434944,6.657992565,2.457249071,12.81828088
138,32,635,263,8.317,1.003802281,6.977186312,2.414448669,12.81011535
139,37,420,176,7.0175,1.028409091,6.982954545,2.386363636,12.81229935
140,39,1265,500,6.3302,1.068,7.54,2.53,12.801607
141,30,126,52,6.3624,0.730769231,5.615384615,2.423076923,13.08839286
142,52,813,350,7.0549,0.951428571,6.785714286,2.322857143,12.71108138
143,45,1067,426,6.7851,1.023474178,6.957746479,2.504694836,12.68695439
144,50,1260,552,2.8929,1.096014493,5.132246377,2.282608696,12.28626919
145,38,951,487,3.0812,1.098562628,4.628336756,1.952772074,12.35922283
146,52,510,224,5.2402,0.946428571,6.200892857,2.276785714,12.59946517
147,52,765,308,6.5217,1.087662338,6.399350649,2.483766234,12.5197879
148,52,1129,460,3.2632,1.010869565,4.745652174,2.454347826,12.33578425
149,52,1073,441,3.0298,1.052154195,5.183673469,2.433106576,12.20407064
150,52,1185,515,4.5428,1.050485437,5.283495146,2.300970874,12.38756052
151,52,756,340,4.072,0.997058824,5.952941176,2.223529412,12.50654754
152,52,1034,521,5.3509,1.028790787,5.650671785,1.984644914,12.61851337
153,52,787,459,3.1603,1.058823529,4.4291939,1.71459695,12.50432367
154,52,612,213,4.7708,1.075117371,6.727699531,2.873239437,12.65937508
155,52,1021,380,8.1564,1.057894737,7.702631579,2.686842105,12.8741584
156,52,861,258,8.8793,1.131782946,8.972868217,3.337209302,12.92464388
157,52,953,327,6.8591,0.957186544,7.599388379,2.914373089,12.77252217
158,52,634,256,6.0302,0.9296875,5.8203125,2.4765625,12.56828224
159,52,878,352,7.508,1.036931818,7.994318182,2.494318182,12.76196723
160,52,918,483,2.7477,1.138716356,4.333333333,1.900621118,12.4041035
161,52,360,175,2.1944,0.96,5.074285714,2.057142857,12.26198028
162,52,1197,488,3.0149,1.045081967,4.276639344,2.452868852,12.29408352
163,52,1048,518,3.675,0.969111969,4.851351351,2.023166023,12.5058068
164,46,1373,747,3.225,1.117804552,4.326639893,1.838018742,12.29591335
165,42,1715,1015,2.9345,1.049261084,4.0591133,1.689655172,12.32385568
166,43,1359,722,2.1429,1.096952909,3.274238227,1.882271468,12.4292162
167,41,1062,413,1.6121,1.13559322,3.561743341,2.571428571,12.05175529
168,29,1335,773,1.3929,1.117723157,3.192755498,1.727037516,12.17458198
169,27,1171,429,2.3173,1.146853147,3.804195804,2.72960373,11.73606902
170,45,1475,460,1.7772,1.143478261,3.882608696,3.206521739,11.48760766
171,50,742,196,2.6458,0.959183673,3.209183673,3.785714286,11.73606902
172,52,1086,363,2.181,1.077134986,3.688705234,2.991735537,11.84078933
173,36,1645,543,2.2303,1.116022099,3.090239411,3.02946593,11.66736182
174,43,1710,644,1.6504,1.004658385,3.639751553,2.655279503,11.93031914
175,52,731,228,2.2697,1,4.368421053,3.206140351,11.75194237
176,52,1118,347,2.1563,1.074927954,4.585014409,3.221902017,11.76446209
177,52,1006,335,2.1348,1.188059701,4.734328358,3.002985075,11.85367426
178,47,1213,554,2.6292,1.061371841,3.693140794,2.189530686,12.11560074
179,52,772,257,2.3833,1.124513619,4.638132296,3.003891051,11.89750736
180,52,1321,401,2.957,1.047381546,4.496259352,3.294264339,11.71831229
181,49,1487,677,2.5238,1.106351551,4.192023634,2.196454948,12.03942757
182,52,488,186,1.9375,0.989247312,4.209677419,2.623655914,11.74878779
183,51,949,392,1.9028,1.056122449,4.056122449,2.420918367,11.75900399
184,50,1149,415,2.25,1.156626506,4.207228916,2.768674699,11.72399644
185,52,844,280,2.3929,1.067857143,4.471428571,3.014285714,11.62536089
186,43,4367,1231,2.1917,1.091795288,4.844029245,3.54752234,11.63337162
187,52,1659,412,2.9357,0.958737864,4.327669903,4.026699029,11.58896015
188,30,1011,263,1.8854,1.003802281,3.798479087,3.844106464,11.8313792
189,39,1464,389,2.1638,1.107969152,3.776349614,3.763496144,11.56646623
190,47,1237,303,2.125,1.303630363,4.528052805,4.082508251,11.46688153
191,52,647,168,3.375,1.071428571,4.011904762,3.851190476,11.66220717
192,43,1284,357,2.2542,1.053221289,4.554621849,3.596638655,11.62803827
193,51,228,55,2.1,0.781818182,3.181818182,4.145454545,11.22524339
194,39,381,123,1.6,1.048780488,3.74796748,3.097560976,11.6307085
195,52,846,227,3.625,1.044052863,3.973568282,3.726872247,11.73606902
196,20,1659,676,1.6929,1.152366864,3.51035503,2.454142012,11.65268741
197,52,520,138,1.6471,0.927536232,2.833333333,3.768115942,11.46163217
198,52,866,259,2.59,1.162162162,4.38996139,3.343629344,11.47626148
199,52,612,183,2.57,1.12568306,4.202185792,3.344262295,11.1844214
200,52,415,126,2.6429,1.158730159,3.746031746,3.293650794,11.17465161
201,52,994,213,3.0257,1.009389671,4.046948357,4.666666667,11.29973224
202,50,1525,477,1.4886,1.111111111,4.025157233,3.19706499,11.76601609
203,43,1506,438,1.9338,1.077625571,3.242009132,3.438356164,11.6307085
204,52,1008,255,1.4844,1.011764706,3.866666667,3.952941176,11.69023448
205,44,2813,751,1.6009,1.098535286,3.115845539,3.745672437,11.679287
206,48,1481,343,2.0375,1.15451895,4.944606414,4.317784257,11.71586631
207,49,859,219,2.293,0.99086758,5.365296804,3.922374429,11.57402056
208,37,1608,523,2.1494,1.09751434,4.479923518,3.07456979,11.79433792
209,30,425,140,1.6198,1.035714286,4.357142857,3.035714286,11.71749763
210,40,564,184,1.3281,1.081521739,5.054347826,3.065217391,11.63779445
211,44,961,272,3.5156,1.154411765,5.466911765,3.533088235,11.60367983
212,52,2273,685,3.9048,1.00729927,4.998540146,3.318248175,12.01188092
213,52,600,195,3.0893,0.974358974,3.907692308,3.076923077,11.73606902
214,46,1647,527,2.6042,1.091081594,4.489563567,3.125237192,11.73366613
215,49,1201,424,2.5,1.061320755,4.306603774,2.83254717,11.82554402
216,38,2167,659,2.7969,1.078907436,4.626707132,3.28831563,11.86146743
217,29,939,340,2.8321,1.105882353,4.823529412,2.761764706,11.91839057
218,47,859,292,2.9583,1.051369863,5.284246575,2.941780822,11.84078933
219,34,1517,516,2.8365,1.079457364,4.581395349,2.939922481,11.84366703
220,35,1143,386,2.875,1.059585492,4.520725389,2.961139896,11.87617872
221,39,1109,464,3.0682,1.077586207,4.316810345,2.390086207,11.96081129
222,39,1221,446,3.0757,1.002242152,4.524663677,2.737668161,11.92503512
223,43,1115,455,4.9559,1.096703297,6.692307692,2.450549451,12.51722707
224,52,706,268,4.7721,1.093283582,5.77238806,2.634328358,12.28811336
225,52,1883,706,3.4861,1.007082153,4.984419263,2.66713881,12.13939851
226,41,804,340,5.1184,1.041176471,6.088235294,2.364705882,12.38672615
227,48,506,252,4.0977,1.043650794,5.242063492,2.007936508,12.34452939
228,48,610,238,4.744,1.088235294,7.117647059,2.56302521,12.457998
229,46,768,332,4.2727,1.027108434,5.837349398,2.313253012,12.41673868
230,50,462,184,2.9844,1.059782609,5.260869565,2.510869565,12.10015642
231,40,667,235,4.1739,1.089361702,4.510638298,2.838297872,12.041198
232,46,1059,399,3.8487,1.015037594,5.115288221,2.654135338,12.222438
233,52,637,277,4.0114,0.97833935,6.545126354,2.299638989,12.48142907
234,45,1106,454,4.6563,0.99339207,5.986784141,2.436123348,12.35363021
235,28,1737,669,2.9297,1.137518685,4.69955157,2.596412556,11.85296277
236,35,1009,390,2.3036,1.176923077,4.620512821,2.587179487,11.74403719
237,49,737,210,2.6667,0.928571429,4.2,3.50952381,11.71177632
238,44,1354,491,2.619,0.920570265,3.301425662,2.757637475,11.81080536
239,45,1530,474,2.4167,1.124472574,4.462025316,3.227848101,11.84510278
240,45,1410,480,2.7788,1.1,4.210416667,2.9375,11.65615963
241,46,1390,569,2.7352,0.892794376,3.934973638,2.44288225,11.82992359
242,52,1065,269,1.8472,1.115241636,5.49070632,3.959107807,11.8277362
243,52,792,245,2.6583,0.914285714,4.310204082,3.232653061,11.86779879
244,49,779,245,3.0536,0.995918367,3.665306122,3.179591837,11.8313792
245,44,2269,610,2.3906,1.163934426,4.86557377,3.719672131,11.62357199
246,43,1227,407,1.7188,1.13022113,4.181818182,3.014742015,11.75036632
247,47,753,241,2.625,1.029045643,3.65560166,3.124481328,11.61998454
248,40,547,135,2.8015,0.844444444,3.659259259,4.051851852,11.65094676
249,50,1807,440,1.7276,1.075,4.036363636,4.106818182,11.53566495
250,44,1700,495,2.0801,1.038383838,3.38989899,3.434343434,11.78979934
251,51,1543,393,2.489,1.178117048,4.165394402,3.926208651,11.68771876
252,52,1085,300,1.7546,1.046666667,4.733333333,3.616666667,11.29725393
253,52,353,137,4.0904,1.262773723,4.313868613,2.576642336,11.29725393
254,52,473,149,2.6765,1.026845638,5,3.174496644,11.39414193
255,49,1621,483,2.4338,1.031055901,4.703933747,3.35610766,11.53664199
256,46,1183,354,2.3309,1.059322034,3.485875706,3.34180791,11.49984023
257,43,836,277,2.2604,1.184115523,3.671480144,3.018050542,11.51292546
258,42,900,263,1.8039,0.965779468,3.543726236,3.422053232,11.43279942
259,39,1888,537,2.2562,1.111731844,5.00744879,3.515828678,11.45952469
260,41,1024,341,2.0562,1.217008798,4.536656891,3.002932551,11.53272809
261,52,1225,423,3.5398,1.047281324,5.437352246,2.895981087,11.97287876
262,39,1071,376,3.1167,1.061170213,4.659574468,2.848404255,11.70849225
263,50,1128,378,2.5401,1.066137566,4.939153439,2.984126984,11.76834258
264,43,1537,484,2.898,1.037190083,5.020661157,3.175619835,11.70684616
265,44,1240,393,2.3125,1.053435115,4.399491094,3.155216285,11.54054063
266,52,469,168,2.875,1.071428571,6.107142857,2.791666667,11.98292909
267,52,1086,425,3.3715,1.007058824,5.105882353,2.555294118,11.87687389
268,52,1144,417,3.5114,1.067146283,5.585131894,2.743405276,11.92635874
269,52,1109,375,4.3125,1.106666667,6.645333333,2.957333333,12.01005776
270,52,984,369,3.22,1.075880759,5.956639566,2.666666667,11.96081129
271,33,575,47,3.875,0.659574468,3.021276596,12.23404255,12.32385568
272,49,496,209,5.2328,0.980861244,5.660287081,2.373205742,12.06795934
273,52,555,190,3.7262,1.015789474,5.631578947,2.921052632,12.02515011
274,45,869,327,4.5893,1.01529052,5.400611621,2.657492355,12.00456827
275,39,236,106,5.2578,0.896226415,5.820754717,2.226415094,12.44114477
276,41,626,214,7.0875,1.088785047,6.593457944,2.925233645,12.39130662
277,46,922,329,3.9712,1.176291793,6.410334347,2.802431611,12.24577401
278,47,582,256,2.9514,0.94921875,4.80078125,2.2734375,12.19652723
279,50,546,201,2.6667,1.07960199,4.746268657,2.71641791,12.05989014
280,37,620,266,5.4446,0.984962406,6.176691729,2.330827068,12.72694761
281,34,442,195,6.2838,1,6.948717949,2.266666667,12.67043539
282,23,955,328,6.7527,1.024390244,7.06402439,2.911585366,12.56304754
283,24,916,324,7.0712,0.978395062,7.589506173,2.827160494,12.58792789
284,22,4985,1967,5.9849,1.041179461,6.528723945,2.534316218,12.82395734
285,42,651,267,3.6875,0.973782772,5.707865169,2.438202247,11.96591009
286,30,1704,703,2.875,1.06116643,4.731152205,2.423897582,11.81524981
287,43,1085,407,3.4205,1.081081081,4.877149877,2.665847666,11.82554402
288,50,713,284,3.2984,1.133802817,5.781690141,2.51056338,11.98729455
289,49,468,181,3.875,0.977900552,4.933701657,2.585635359,11.85367426
290,52,296,121,4.175,1.05785124,5.396694215,2.446280992,11.87756858
291,47,570,218,4.375,0.995412844,5.76146789,2.614678899,11.99473414
292,48,446,180,4.7708,1.077777778,5.427777778,2.477777778,11.95953252
293,45,968,384,3.5739,1.033854167,6.052083333,2.520833333,12.07823927
294,39,857,316,3.0958,1.10443038,5.009493671,2.712025316,11.8899911
295,39,912,322,3.3958,1.062111801,5.00621118,2.832298137,11.86287786
296,31,1360,452,1.871,1.17920354,5.362831858,3.008849558,11.41531264
297,41,1074,355,1.9356,1.033802817,4.490140845,3.025352113,11.41420949
298,47,965,382,2.1842,1.081151832,5.544502618,2.52617801,11.58896015
299,37,933,320,2.2917,1.11875,4.921875,2.915625,11.58058411
300,38,987,354,2.4333,1.121468927,4.983050847,2.788135593,11.49476149
301,50,907,246,1.9479,1.06097561,4.825203252,3.68699187,11.4019939
302,52,447,165,3.9063,1.060606061,4.56969697,2.709090909,11.44892013
303,49,1299,451,1.8407,1.002217295,5.11751663,2.880266075,11.47936868
304,27,396,157,2.0786,1.503184713,5.789808917,2.522292994,11.48760766
305,42,877,268,2.8125,0.958955224,4.402985075,3.27238806,11.48555427
306,43,1111,367,1.8913,1.111716621,5.498637602,3.027247956,11.42081018
307,49,790,269,1.7056,1.048327138,5.085501859,2.936802974,11.42300076
308,52,1479,554,2.2768,0.987364621,4.953068592,2.66967509,11.47418464
309,51,1173,438,3.2552,1.075342466,4.810502283,2.678082192,11.69608001
310,52,1029,366,2.0556,0.989071038,4.775956284,2.81147541,11.51292546
311,52,1030,350,2.4659,1.117142857,5.782857143,2.942857143,11.45846928
312,47,826,279,1.75,0.928315412,4,2.960573477,11.3586081
313,41,1412,454,2.0469,1.123348018,4.484581498,3.110132159,11.39975677
314,45,1132,349,2.7159,1.126074499,5.306590258,3.243553009,11.52682837
315,41,522,159,1.2083,1.301886792,5.79245283,3.283018868,11.19134184
316,45,630,237,1.925,1.004219409,4.198312236,2.658227848,11.21317081
317,36,531,133,1.5809,0.992481203,4.556390977,3.992481203,11.15625052
318,37,1925,667,1.4097,1.103448276,4.017991004,2.886056972,11.34568955
319,38,1144,351,0.7683,1.054131054,4.253561254,3.259259259,11.31203252
320,19,1481,520,1.3194,1.086538462,4.244230769,2.848076923,11.30713055
321,28,435,162,0.8012,1.166666667,5.283950617,2.685185185,11.31203252
322,26,984,303,1.9479,0.98019802,4.267326733,3.247524752,11.35977429
323,36,567,159,1.1765,1.333333333,5.327044025,3.566037736,11.37481216
324,42,380,123,2.3456,1.25203252,4.398373984,3.089430894,11.33260191
325,44,825,244,2.1538,1.036885246,4.368852459,3.381147541,11.28602486
326,43,417,155,2.5139,0.948387097,4.561290323,2.690322581,11.33140359
327,45,801,287,1.2625,1.013937282,5.324041812,2.790940767,11.34687088
328,42,646,198,2.9063,1.085858586,4.590909091,3.262626263,11.28978191
329,43,855,285,2.5192,1.028070175,4.880701754,3,11.24373798
330,44,435,136,2.1111,0.875,4.029411765,3.198529412,11.28602486
331,42,2736,780,2.455,1.120512821,5.223076923,3.507692308,11.31934072
332,41,1481,414,2.4028,1.074879227,3.896135266,3.577294686,11.48965684
333,47,327,137,2.15,0.97810219,3.379562044,2.386861314,11.48452599
334,43,494,179,2.4776,1.078212291,4.569832402,2.759776536,11.52879881
335,43,1231,341,2.1587,1.08797654,4.319648094,3.609970674,11.36789969
336,35,323,109,1.8438,1.155963303,4.623853211,2.963302752,11.41310513
337,46,749,225,3.0298,1.004444444,4.56,3.328888889,11.58617593
338,46,693,178,2.25,1.028089888,4.320224719,3.893258427,11.3409502
339,46,1339,354,2.2467,1.104519774,5.940677966,3.782485876,11.39526742
340,45,282,80,4.0469,0.95,4.125,3.525,11.29849385
341,46,621,195,1.325,1.117948718,4.825641026,3.184615385,11.37481216
342,38,732,259,1.6196,1.077220077,3.83011583,2.826254826,11.35158231
343,45,901,260,2.1731,1.003846154,3.807692308,3.465384615,11.31447453
344,36,482,150,1.9167,1.753333333,7.506666667,3.213333333,11.32418334
345,43,652,213,2.069,1.093896714,4.863849765,3.061032864,11.34568955
346,36,651,166,1.712,1.289156627,6.307228916,3.921686747,11.3156933
347,33,999,286,2.5625,1.073426573,4.475524476,3.493006993,11.39975677
348,43,907,306,1.9821,1.045751634,5.18627451,2.964052288,11.49577931
349,41,828,230,2.5043,1.17826087,5.465217391,3.6,11.43279942
350,44,763,254,2.3281,0.976377953,4.795275591,3.003937008,11.39414193
351,48,935,349,1.4375,1.11747851,5.017191977,2.679083095,11.40756495
352,45,1437,484,2.5122,1.061983471,4.75,2.969008264,11.46688153
353,38,1516,482,1.5625,1.294605809,5.097510373,3.145228216,11.42627766
354,47,597,185,3.1587,1.140540541,5.394594595,3.227027027,11.51691749
355,40,949,342,1.8426,1.002923977,4.926900585,2.774853801,11.45952469
356,46,881,302,4.6696,1.016556291,6.049668874,2.917218543,12.0094493
357,36,1438,519,2.4598,1.105973025,5.358381503,2.770712909,11.95440101
358,39,763,270,6.0749,1.059259259,6.751851852,2.825925926,12.19045126
359,27,1297,355,4.8304,1.028169014,6.278873239,3.653521127,12.53932542
360,34,545,211,5.5701,1.09478673,7.170616114,2.582938389,12.44035394
361,26,1222,533,5.37,0.92120075,6.127579737,2.292682927,12.52597987
362,33,808,219,6.86,1.191780822,8.260273973,3.689497717,12.4292162
363,28,329,109,7.6923,1.018348624,7.28440367,3.018348624,12.70624169
364,36,299,109,4.0313,0.963302752,6.330275229,2.743119266,12.18331566
365,33,579,202,6.8323,0.99009901,6.603960396,2.866336634,12.45254202
366,30,137,50,4.975,1.08,8.28,2.74,12.64786968
367,36,229,93,5.3602,1,8.258064516,2.462365591,12.70684793
368,41,1476,648,5,1.027777778,6.790123457,2.277777778,12.42480649
369,46,429,154,2.925,1.045454545,6.194805195,2.785714286,11.86990036
370,40,849,255,3.8913,1.003921569,5.666666667,3.329411765,11.74641531
371,44,946,331,3.225,1.205438066,5.854984894,2.858006042,11.81893849
372,41,571,191,3.1458,0.931937173,4.481675393,2.989528796,11.7798945
373,24,1137,386,2.537,1.176165803,4.637305699,2.945595855,11.58896015
374,44,378,135,2.5568,0.97037037,4.57037037,2.8,11.61818598
375,43,853,272,3.5083,1.011029412,5.084558824,3.136029412,11.71177632
